Frequency(Hz),R(ohm),X(ohm),V(V),SoC(%)
0.01,0.138589,-0.0626963,3.29318,60
0.02,0.115794,-0.0464766,3.29664,60
0.03,0.10686,-0.0377022,3.297,60
0.05,0.0986745,-0.0287812,3.29745,60
0.08,0.0929967,-0.022711,3.2977,60
0.1,0.090711,-0.0203993,3.29786,60
0.2,0.0847807,-0.0147837,3.29802,60
0.3,0.0820292,-0.0123378,3.29806,60
0.5,0.0791742,-0.00989832,3.29814,60
0.8,0.0770493,-0.00822097,3.29819,60
1,0.0761702,-0.00758626,3.29824,60
2,0.0738041,-0.0062171,3.29829,60
3,0.0725666,-0.00576841,3.29833,60
5,0.0710729,-0.0055362,3.29835,60
8,0.0696745,-0.0055767,3.29837,60
10,0.0689776,-0.00567919,3.29838,60
11,0.0686727,-0.00569447,3.2984,60
21,0.0664346,-0.00630666,3.29839,60
31,0.0648169,-0.00672564,3.29841,60
61,0.0615583,-0.0073741,3.29841,60
81,0.0600457,-0.00752812,3.29841,60
100,0.0588839,-0.00756535,3.29841,60
110,0.0583588,-0.00758564,3.29842,60
210,0.0546849,-0.00724901,3.2984,60
310,0.0525291,-0.00663488,3.29842,60
510,0.049849,-0.00537741,3.2984,60
810,0.0475729,-0.00357946,3.2984,60
1000,0.0465985,-0.00247579,3.29841,60
0.01,0.144567,-0.0633851,3.26242,25
0.02,0.120774,-0.0484601,3.2661,25
0.03,0.110795,-0.0400756,3.26617,25
0.05,0.101418,-0.0313198,3.26645,25
0.08,0.0948083,-0.0251939,3.2666,25
0.1,0.0921152,-0.0228229,3.26671,25
0.2,0.0850827,-0.0170164,3.26682,25
0.3,0.0817618,-0.0144525,3.26683,25
0.5,0.0782343,-0.0118795,3.26688,25
0.8,0.0755311,-0.0100927,3.26695,25
1,0.0743859,-0.00940427,3.26699,25
2,0.0711838,-0.00780223,3.26703,25
3,0.0695205,-0.00718888,3.26707,25
5,0.0675271,-0.00661284,3.2671,25
8,0.0658185,-0.00625081,3.26713,25
10,0.0650524,-0.00616556,3.26714,25
11,0.064724,-0.00617859,3.26715,25
21,0.0624198,-0.00622522,3.26716,25
31,0.0609261,-0.00642103,3.26716,25
61,0.057954,-0.00670488,3.26718,25
81,0.0566292,-0.00676429,3.26715,25
100,0.0556414,-0.00674503,3.26716,25
110,0.0551803,-0.0067307,3.26716,25
210,0.0520109,-0.00629168,3.26716,25
310,0.0501483,-0.00572365,3.26716,25
510,0.0479196,-0.00463148,3.26716,25
810,0.0459554,-0.00307713,3.26716,25
1000,0.0451436,-0.00214128,3.26716,25
0.01,0.135809,-0.0541042,3.28591,55
0.02,0.114521,-0.0414345,3.28857,55
0.03,0.105959,-0.033946,3.28853,55
0.05,0.0982055,-0.0260102,3.28875,55
0.08,0.09296,-0.0205232,3.28888,55
0.1,0.0908809,-0.0184296,3.28896,55
0.2,0.0855261,-0.013387,3.28907,55
0.3,0.0830427,-0.0112267,3.28908,55
0.5,0.0804285,-0.00911511,3.28915,55
0.8,0.078436,-0.00767829,3.28919,55
1,0.0775968,-0.00714538,3.28922,55
2,0.0752314,-0.00596874,3.28925,55
3,0.0739739,-0.0055618,3.2893,55
5,0.0724359,-0.00524739,3.28931,55
8,0.0710517,-0.00509259,3.28933,55
10,0.0703721,-0.00503782,3.28934,55
11,0.0701101,-0.0050416,3.28935,55
21,0.0681977,-0.00515237,3.28936,55
31,0.0669636,-0.00529658,3.28937,55
61,0.064549,-0.0056098,3.28937,55
81,0.0634442,-0.00569529,3.28937,55
100,0.0626342,-0.00575842,3.28935,55
110,0.0622739,-0.00575648,3.28937,55
210,0.0595627,-0.0056106,3.28935,55
310,0.0578943,-0.00532218,3.28937,55
510,0.0557647,-0.00457323,3.28935,55
810,0.0538563,-0.00340151,3.28936,55
1000,0.0529998,-0.002648,3.28936,55
0.01,0.138557,-0.0571193,3.28503,50
0.02,0.116243,-0.0436564,3.28795,50
0.03,0.107293,-0.0359011,3.28793,50
0.05,0.0990103,-0.0277819,3.28817,50
0.08,0.0932628,-0.0221768,3.28828,50
0.1,0.0909512,-0.0200157,3.28838,50
0.2,0.0849219,-0.014735,3.28847,50
0.3,0.082107,-0.0124045,3.28849,50
0.5,0.0791661,-0.0100928,3.28854,50
0.8,0.0769381,-0.00849347,3.28858,50
1,0.076016,-0.0079047,3.28863,50
2,0.0734503,-0.00664288,3.28865,50
3,0.0720855,-0.00624498,3.2887,50
5,0.070388,-0.00602207,3.28872,50
8,0.0688309,-0.00599736,3.28874,50
10,0.068057,-0.00611894,3.28875,50
11,0.0677322,-0.00615865,3.28878,50
21,0.0652694,-0.00663795,3.28878,50
31,0.0635443,-0.00703908,3.28877,50
61,0.0601736,-0.00749415,3.28877,50
81,0.0586388,-0.00756198,3.28878,50
100,0.0574622,-0.00755183,3.28876,50
110,0.0569294,-0.00751269,3.28877,50
210,0.053378,-0.00690254,3.28877,50
310,0.0513432,-0.00619038,3.28877,50
510,0.0490011,-0.0048619,3.28877,50
810,0.0470362,-0.00316217,3.28877,50
1000,0.04621,-0.00215999,3.28876,50
0.01,0.137189,-0.0525907,3.32492,90
0.02,0.115965,-0.0397989,3.32717,90
0.03,0.107735,-0.0321039,3.32705,90
0.05,0.100626,-0.0240256,3.32723,90
0.08,0.0960513,-0.0184975,3.32734,90
0.1,0.0942949,-0.0164208,3.32745,90
0.2,0.0898848,-0.011559,3.32756,90
0.3,0.0878716,-0.00954399,3.32761,90
0.5,0.0857849,-0.00762615,3.32764,90
0.8,0.0841853,-0.00634477,3.32771,90
1,0.083526,-0.00588222,3.32773,90
2,0.0816929,-0.00489069,3.32776,90
3,0.0807159,-0.00458235,3.32781,90
5,0.0795185,-0.00444802,3.32781,90
8,0.0783733,-0.00453989,3.32782,90
10,0.0778066,-0.00463643,3.32785,90
11,0.0775948,-0.00472331,3.32786,90
21,0.0757071,-0.00526348,3.32786,90
31,0.0743881,-0.00562684,3.32786,90
61,0.0716515,-0.00633033,3.32787,90
81,0.0704024,-0.00655198,3.32784,90
100,0.0694173,-0.00664995,3.32788,90
110,0.0689427,-0.00668649,3.32786,90
210,0.0658483,-0.00668518,3.32785,90
310,0.0639434,-0.00650194,3.32786,90
510,0.0614701,-0.00595033,3.32787,90
810,0.059222,-0.00501097,3.32785,90
1000,0.0581997,-0.0044246,3.32787,90
0.01,0.135717,-0.0635651,3.32224,75
0.02,0.112946,-0.0458073,3.32523,75
0.03,0.104305,-0.0366623,3.32536,75
0.05,0.0965822,-0.0276104,3.32568,75
0.08,0.0913241,-0.0215481,3.32588,75
0.1,0.0892268,-0.0192707,3.326,75
0.2,0.0837985,-0.0138322,3.32612,75
0.3,0.0812839,-0.0115121,3.32616,75
0.5,0.0786597,-0.00922964,3.32622,75
0.8,0.0767059,-0.00767588,3.32627,75
1,0.0758864,-0.00707926,3.32631,75
2,0.0736775,-0.00583678,3.32635,75
3,0.0725297,-0.00544514,3.32639,75
5,0.0711054,-0.00524185,3.32639,75
8,0.0697698,-0.00527358,3.32642,75
10,0.0691138,-0.00535521,3.32645,75
11,0.0688433,-0.00544813,3.32644,75
21,0.0666861,-0.00598789,3.32645,75
31,0.0651561,-0.00644095,3.32646,75
61,0.0620844,-0.00706107,3.32648,75
81,0.0606524,-0.0072193,3.32646,75
100,0.0595609,-0.00730005,3.32645,75
110,0.0590092,-0.00734126,3.32646,75
210,0.0555252,-0.00710227,3.32645,75
310,0.0534209,-0.00665265,3.32647,75
510,0.0508173,-0.00562823,3.32646,75
810,0.04855,-0.00408226,3.32646,75
1000,0.0475665,-0.00314585,3.32644,75
0.01,0.171759,-0.0911187,3.17395,5
0.02,0.142819,-0.065911,3.17954,5
0.03,0.130466,-0.0537875,3.18007,5
0.05,0.118562,-0.041873,3.1807,5
0.08,0.109895,-0.0336858,3.181,5
0.1,0.106307,-0.030501,3.18118,5
0.2,0.0969656,-0.0228185,3.18142,5
0.3,0.0924943,-0.0194289,3.18143,5
0.5,0.0877045,-0.0160687,3.18154,5
0.8,0.0839666,-0.0136929,3.18159,5
1,0.0823591,-0.0127599,3.18166,5
2,0.0778764,-0.0104125,3.18173,5
3,0.075617,-0.00935242,3.18177,5
5,0.0731116,-0.00824311,3.18184,5
8,0.0711138,-0.00750335,3.18185,5
10,0.0702479,-0.00732251,3.18188,5
11,0.0698836,-0.00726338,3.1819,5
21,0.0673264,-0.00728323,3.18191,5
31,0.0655827,-0.00744114,3.1819,5
61,0.0621946,-0.00772032,3.18192,5
81,0.0606489,-0.00775098,3.18192,5
100,0.0594825,-0.00771415,3.18193,5
110,0.0589674,-0.00770212,3.18191,5
210,0.0554075,-0.00716125,3.18191,5
310,0.0533642,-0.00650068,3.18191,5
510,0.05093,-0.00534167,3.18191,5
810,0.0488126,-0.00376629,3.18191,5
1000,0.0479207,-0.00283953,3.18191,5
0.01,0.145761,-0.0644804,3.31444,70
0.02,0.122458,-0.0472927,3.31989,70
0.03,0.113163,-0.0379525,3.32078,70
0.05,0.104946,-0.0283832,3.32152,70
0.08,0.0995768,-0.0218607,3.32192,70
0.1,0.0975056,-0.0193958,3.32218,70
0.2,0.0922825,-0.0136265,3.32241,70
0.3,0.0899106,-0.0112487,3.32253,70
0.5,0.0874436,-0.00894156,3.32262,70
0.8,0.0855973,-0.0074134,3.3227,70
1,0.0848141,-0.00682944,3.32274,70
2,0.0826968,-0.00561218,3.32279,70
3,0.081569,-0.00522812,3.32284,70
5,0.080185,-0.00497898,3.32286,70
8,0.0788971,-0.00494404,3.32288,70
10,0.0782628,-0.00496029,3.32289,70
11,0.0780198,-0.00502897,3.3229,70
21,0.0760403,-0.00535728,3.32293,70
31,0.0747337,-0.00566366,3.32292,70
61,0.0720901,-0.00617845,3.32293,70
81,0.0708536,-0.00631307,3.32293,70
100,0.0699085,-0.00638413,3.32293,70
110,0.0695257,-0.006401,3.32293,70
210,0.0665372,-0.00634375,3.32293,70
310,0.0647241,-0.006072,3.32293,70
510,0.0623935,-0.00547172,3.32293,70
810,0.0602338,-0.00450163,3.32294,70
1000,0.0592267,-0.00387754,3.32293,70
0.01,0.175767,-0.083051,3.19017,5
0.02,0.147193,-0.061908,3.19501,5
0.03,0.134867,-0.0512669,3.19525,5
0.05,0.122868,-0.0405487,3.19569,5
0.08,0.114058,-0.0330414,3.19587,5
0.1,0.110395,-0.0300728,3.19598,5
0.2,0.100853,-0.0227882,3.19616,5
0.3,0.0962823,-0.01953,3.19614,5
0.5,0.0913737,-0.0162633,3.1962,5
0.8,0.0875123,-0.0139295,3.19626,5
1,0.08586,-0.0130081,3.19633,5
2,0.0812388,-0.0106702,3.19638,5
3,0.0788715,-0.00955021,3.19644,5
5,0.0762858,-0.00837358,3.19647,5
8,0.0742547,-0.00760576,3.1965,5
10,0.0733788,-0.00738026,3.19653,5
11,0.0730081,-0.00728931,3.19654,5
21,0.0704529,-0.00725158,3.19655,5
31,0.0687078,-0.00740503,3.19654,5
61,0.0654156,-0.00763224,3.19657,5
81,0.0639012,-0.00764418,3.19656,5
100,0.0627679,-0.00762847,3.19656,5
110,0.0622636,-0.0075806,3.19656,5
210,0.0587347,-0.00701973,3.19654,5
310,0.0567452,-0.0063876,3.19656,5
510,0.0544315,-0.00527955,3.19657,5
810,0.0524471,-0.00383783,3.19656,5
1000,0.0515694,-0.0030397,3.19655,5
0.01,0.156065,-0.0750497,3.20361,10
0.02,0.129153,-0.0567435,3.20799,10
0.03,0.117665,-0.0469713,3.20816,10
0.05,0.106687,-0.0368879,3.20856,10
0.08,0.0988018,-0.0298335,3.20873,10
0.1,0.0955655,-0.0270779,3.20886,10
0.2,0.0871092,-0.0203229,3.20901,10
0.3,0.0830791,-0.0173193,3.20903,10
0.5,0.0788038,-0.0143015,3.20909,10
0.8,0.0754619,-0.0121325,3.20915,10
1,0.07405,-0.0112893,3.2092,10
2,0.0701489,-0.00919124,3.20925,10
3,0.0681438,-0.00824984,3.20931,10
5,0.0659482,-0.00733073,3.20934,10
8,0.0641543,-0.00670819,3.20936,10
10,0.063352,-0.00649133,3.20939,10
11,0.0630205,-0.00646102,3.2094,10
21,0.0607173,-0.00638334,3.2094,10
31,0.0591948,-0.00649361,3.20941,10
61,0.0562313,-0.00661408,3.20943,10
81,0.0549215,-0.00660626,3.20941,10
100,0.0539578,-0.00654771,3.20941,10
110,0.0534703,-0.00649378,3.2094,10
210,0.0504259,-0.00593039,3.20942,10
310,0.048675,-0.00529321,3.20941,10
510,0.0465929,-0.00407803,3.20941,10
810,0.044823,-0.0024222,3.20941,10
1000,0.044081,-0.00144926,3.20941,10
0.01,0.166051,-0.0577351,3.28565,50
0.02,0.142823,-0.0452712,3.28859,50
0.03,0.13312,-0.0376308,3.28844,50
0.05,0.12411,-0.0293548,3.28861,50
0.08,0.117886,-0.0234814,3.28867,50
0.1,0.11539,-0.0212219,3.28876,50
0.2,0.108932,-0.0156637,3.28883,50
0.3,0.105916,-0.0132153,3.28886,50
0.5,0.102758,-0.0107731,3.2889,50
0.8,0.100352,-0.00906559,3.28894,50
1,0.0993355,-0.00841924,3.28897,50
2,0.0965801,-0.00699909,3.28903,50
3,0.0951013,-0.00648994,3.28905,50
5,0.0933248,-0.00608642,3.28907,50
8,0.0917594,-0.00591895,3.2891,50
10,0.0910012,-0.00588961,3.28912,50
11,0.0906689,-0.0058674,3.28913,50
21,0.0884849,-0.00607079,3.28915,50
31,0.0870424,-0.00636054,3.28914,50
61,0.0842071,-0.00693024,3.28915,50
81,0.0828966,-0.00716168,3.28914,50
100,0.0819067,-0.00732048,3.28914,50
110,0.0814491,-0.00739546,3.28913,50
210,0.078175,-0.00773431,3.28914,50
310,0.0760744,-0.00786242,3.28914,50
510,0.073282,-0.00783439,3.28913,50
810,0.0705148,-0.00757546,3.28914,50
1000,0.069137,-0.00734628,3.28914,50
0.01,0.172752,-0.0854277,3.18954,5
0.02,0.143414,-0.0634119,3.19445,5
0.03,0.130836,-0.052376,3.19468,5
0.05,0.118662,-0.041313,3.19511,5
0.08,0.109733,-0.0335622,3.1953,5
0.1,0.106037,-0.0304979,3.19542,5
0.2,0.0964231,-0.0230203,3.1956,5
0.3,0.0918492,-0.019696,3.19558,5
0.5,0.0869338,-0.0163744,3.19565,5
0.8,0.0830672,-0.0140176,3.1957,5
1,0.0814044,-0.0130969,3.19578,5
2,0.0767594,-0.0107594,3.19582,5
3,0.0744067,-0.00968256,3.19588,5
5,0.0717676,-0.0085288,3.19592,5
8,0.0696965,-0.00782299,3.19594,5
10,0.0688009,-0.00767615,3.19598,5
11,0.0684006,-0.00759933,3.19599,5
21,0.065657,-0.00758616,3.19601,5
31,0.0638095,-0.00777557,3.19601,5
61,0.0602382,-0.00798628,3.19602,5
81,0.0586307,-0.00793547,3.196,5
100,0.0574478,-0.00783474,3.196,5
110,0.0568845,-0.00776394,3.196,5
210,0.0532777,-0.00695277,3.196,5
310,0.051323,-0.00610786,3.196,5
510,0.0490806,-0.00468625,3.19601,5
810,0.0472281,-0.00295353,3.196,5
1000,0.0464333,-0.00195171,3.19599,5
0.01,0.12862,-0.0521694,3.32429,90
0.02,0.108405,-0.0387093,3.32655,90
0.03,0.100732,-0.0311421,3.32658,90
0.05,0.0940335,-0.0233444,3.32682,90
0.08,0.089614,-0.0180681,3.32698,90
0.1,0.0878876,-0.0160939,3.32711,90
0.2,0.0834863,-0.0114434,3.32722,90
0.3,0.0814493,-0.00949682,3.32725,90
0.5,0.0793121,-0.00761618,3.32731,90
0.8,0.0777027,-0.00634402,3.32737,90
1,0.0770394,-0.00587546,3.32739,90
2,0.0752122,-0.00487305,3.32742,90
3,0.0742548,-0.00458321,3.32746,90
5,0.0730937,-0.00449514,3.32748,90
8,0.0719759,-0.00462045,3.32749,90
10,0.0713943,-0.00477288,3.32751,90
11,0.0711292,-0.00482537,3.32749,90
21,0.0691701,-0.00548247,3.32751,90
31,0.0677507,-0.00601652,3.32751,90
61,0.0648443,-0.00666141,3.32753,90
81,0.0634923,-0.00689465,3.32751,90
100,0.0624282,-0.00697353,3.32752,90
110,0.0619351,-0.00700283,3.32752,90
210,0.0585335,-0.00680146,3.32752,90
310,0.0565391,-0.00638973,3.32752,90
510,0.0540943,-0.00543885,3.32751,90
810,0.0519379,-0.00408468,3.32753,90
1000,0.0510044,-0.00325286,3.32753,90
0.01,0.159499,-0.0567662,3.29027,60
0.02,0.137089,-0.0439607,3.29306,60
0.03,0.127817,-0.0361563,3.29296,60
0.05,0.11941,-0.0277237,3.29313,60
0.08,0.113779,-0.021824,3.29322,60
0.1,0.111567,-0.0195753,3.29331,60
0.2,0.105892,-0.0141629,3.29342,60
0.3,0.103262,-0.0118384,3.29343,60
0.5,0.100521,-0.00955339,3.29349,60
0.8,0.098448,-0.00797323,3.29353,60
1,0.0975914,-0.00738382,3.29357,60
2,0.0952282,-0.00606447,3.2936,60
3,0.0939929,-0.00564082,3.29363,60
5,0.0925025,-0.00535355,3.29366,60
8,0.0911191,-0.00525368,3.29369,60
10,0.0904425,-0.00528626,3.29369,60
11,0.0901678,-0.00526146,3.29369,60
21,0.0881602,-0.00553252,3.2937,60
31,0.08684,-0.00584132,3.29372,60
61,0.084268,-0.00641789,3.29371,60
81,0.0830144,-0.00668624,3.29372,60
100,0.0821215,-0.00682812,3.29372,60
110,0.0816919,-0.00692726,3.29372,60
210,0.0786129,-0.0072947,3.29371,60
310,0.0766567,-0.00748916,3.29371,60
510,0.0739759,-0.00760732,3.2937,60
810,0.0712984,-0.00749899,3.2937,60
1000,0.0699618,-0.00735531,3.29371,60
0.01,0.131997,-0.0588455,3.32366,75
0.02,0.109737,-0.0435303,3.32631,75
0.03,0.101239,-0.0351017,3.32634,75
0.05,0.0936862,-0.0264872,3.32664,75
0.08,0.0886097,-0.0206591,3.3268,75
0.1,0.0866071,-0.0184723,3.32692,75
0.2,0.0814241,-0.0132534,3.32703,75
0.3,0.0790252,-0.0110306,3.32708,75
0.5,0.0765082,-0.0088552,3.32714,75
0.8,0.0746219,-0.00735992,3.32718,75
1,0.0738462,-0.00680867,3.32723,75
2,0.0717153,-0.00561116,3.32726,75
3,0.0705938,-0.00523931,3.32729,75
5,0.0692211,-0.00503684,3.32732,75
8,0.0679403,-0.00511467,3.32734,75
10,0.0672917,-0.00517233,3.32734,75
11,0.0669937,-0.00520858,3.32735,75
21,0.0649226,-0.00574731,3.32736,75
31,0.0634977,-0.00602345,3.32738,75
61,0.0605513,-0.00659715,3.32738,75
81,0.0592232,-0.00671937,3.32737,75
100,0.0581957,-0.00673368,3.32736,75
110,0.05773,-0.0067364,3.32736,75
210,0.0544782,-0.00639475,3.32736,75
310,0.0526001,-0.00586107,3.32736,75
510,0.0503271,-0.00480432,3.32738,75
810,0.0483714,-0.00333752,3.32736,75
1000,0.0475423,-0.00245512,3.32736,75
0.01,0.131639,-0.0651076,3.31673,65
0.02,0.108564,-0.0472499,3.3217,65
0.03,0.0996158,-0.0379365,3.32241,65
0.05,0.0915717,-0.028613,3.32303,65
0.08,0.0861288,-0.0223336,3.32339,65
0.1,0.0839595,-0.0199669,3.3236,65
0.2,0.0783473,-0.0143219,3.3238,65
0.3,0.0757401,-0.0118968,3.32387,65
0.5,0.0730375,-0.00952214,3.32394,65
0.8,0.071013,-0.00787666,3.32402,65
1,0.0701686,-0.00725079,3.32407,65
2,0.0679221,-0.0059163,3.32412,65
3,0.0667329,-0.00545272,3.32415,65
5,0.0653135,-0.00515316,3.32419,65
8,0.0640047,-0.00508598,3.32421,65
10,0.0633863,-0.00513014,3.3242,65
11,0.0630903,-0.0051572,3.32422,65
21,0.0610826,-0.00548718,3.32423,65
31,0.0597158,-0.00580135,3.32424,65
61,0.0569374,-0.00625648,3.32424,65
81,0.0556605,-0.00634804,3.32425,65
100,0.0546777,-0.00639053,3.32424,65
110,0.054239,-0.00638939,3.32424,65
210,0.051167,-0.00604283,3.32424,65
310,0.0492882,-0.00550328,3.32424,65
510,0.0470232,-0.00434593,3.32425,65
810,0.045055,-0.00265418,3.32424,65
1000,0.0442166,-0.0016228,3.32425,65
0.01,0.158159,-0.0769612,3.20881,10
0.02,0.131051,-0.0575135,3.21304,10
0.03,0.119549,-0.0474386,3.21315,10
0.05,0.108536,-0.0372398,3.21349,10
0.08,0.100602,-0.0301151,3.21361,10
0.1,0.0973389,-0.0273346,3.21371,10
0.2,0.0888067,-0.0205146,3.21387,10
0.3,0.0847499,-0.0174813,3.21385,10
0.5,0.0804328,-0.0144307,3.2139,10
0.8,0.0770802,-0.0122657,3.21397,10
1,0.0756581,-0.0114238,3.21403,10
2,0.0716939,-0.00934984,3.21407,10
3,0.0696795,-0.00845399,3.21412,10
5,0.0673787,-0.00750412,3.21414,10
8,0.0655382,-0.00689215,3.21418,10
10,0.0647079,-0.00671599,3.2142,10
11,0.064357,-0.00664007,3.2142,10
21,0.061986,-0.00659141,3.21421,10
31,0.0604196,-0.00673527,3.21422,10
61,0.0573641,-0.00691824,3.21425,10
81,0.0559533,-0.00693494,3.21423,10
100,0.0549213,-0.00690204,3.21423,10
110,0.0544406,-0.00687399,3.21421,10
210,0.0511913,-0.00626181,3.21423,10
310,0.0493319,-0.00559055,3.21422,10
510,0.047103,-0.00430675,3.21422,10
810,0.0452285,-0.00255581,3.21422,10
1000,0.044413,-0.00151049,3.21423,10
0.01,0.122807,-0.051319,3.32471,95
0.02,0.103295,-0.0378455,3.32679,95
0.03,0.0959879,-0.0302941,3.32683,95
0.05,0.0896515,-0.0225646,3.32709,95
0.08,0.0855005,-0.0173711,3.32727,95
0.1,0.0838878,-0.0154391,3.32739,95
0.2,0.0797798,-0.010903,3.32752,95
0.3,0.0778839,-0.00904586,3.32755,95
0.5,0.0758881,-0.00727146,3.32762,95
0.8,0.0743726,-0.00608974,3.32766,95
1,0.0737309,-0.00566685,3.3277,95
2,0.0719723,-0.0048042,3.32772,95
3,0.0710334,-0.00461213,3.32776,95
5,0.0698552,-0.00462189,3.32776,95
8,0.068665,-0.00486978,3.32778,95
10,0.0680481,-0.00508039,3.32779,95
11,0.0677855,-0.00515792,3.32779,95
21,0.0656266,-0.00597779,3.32781,95
31,0.0640308,-0.00650219,3.32782,95
61,0.0607748,-0.00722898,3.32782,95
81,0.0592698,-0.00740117,3.32782,95
100,0.0581216,-0.00743759,3.32781,95
110,0.0575805,-0.00744424,3.32781,95
210,0.0540209,-0.0069971,3.32782,95
310,0.0519227,-0.00640597,3.32781,95
510,0.0494824,-0.00519417,3.32781,95
810,0.0473909,-0.00358908,3.32781,95
1000,0.046516,-0.00264086,3.3278,95
0.01,0.133317,-0.0620037,3.32105,70
0.02,0.110972,-0.0454069,3.32454,70
0.03,0.10241,-0.0365652,3.32481,70
0.05,0.0946816,-0.0276349,3.3252,70
0.08,0.0894291,-0.0215774,3.3254,70
0.1,0.0873673,-0.0193018,3.32556,70
0.2,0.0819588,-0.0138459,3.3257,70
0.3,0.0794514,-0.0115175,3.32574,70
0.5,0.0768477,-0.009247,3.32581,70
0.8,0.0748842,-0.00769738,3.32585,70
1,0.0740867,-0.00713698,3.32589,70
2,0.071855,-0.00591611,3.32594,70
3,0.0706767,-0.00553587,3.32598,70
5,0.0692349,-0.00535815,3.32599,70
8,0.0678566,-0.00544205,3.32601,70
10,0.0671419,-0.00555076,3.32606,70
11,0.0668653,-0.0056203,3.32605,70
21,0.0645897,-0.00617112,3.32606,70
31,0.0629902,-0.00660877,3.32606,70
61,0.0598046,-0.00711939,3.32605,70
81,0.0583096,-0.00723241,3.32605,70
100,0.0571909,-0.00724189,3.32605,70
110,0.0566977,-0.00723474,3.32606,70
210,0.0532183,-0.00674408,3.32607,70
310,0.0512381,-0.0060559,3.32605,70
510,0.0488913,-0.00478639,3.32606,70
810,0.0469084,-0.00313754,3.32604,70
1000,0.0460913,-0.00214851,3.32606,70
0.01,0.167714,-0.0726934,3.22816,15
0.02,0.141348,-0.0554616,3.23241,15
0.03,0.130003,-0.046284,3.23253,15
0.05,0.118937,-0.0368093,3.23287,15
0.08,0.110818,-0.0300846,3.23301,15
0.1,0.107467,-0.0274241,3.23309,15
0.2,0.0986756,-0.0207701,3.23322,15
0.3,0.094494,-0.0177465,3.23322,15
0.5,0.090068,-0.0146999,3.23328,15
0.8,0.0866428,-0.012548,3.23333,15
1,0.0851696,-0.0116947,3.23339,15
2,0.081114,-0.00967952,3.23343,15
3,0.0790009,-0.00881564,3.23347,15
5,0.0766044,-0.00793887,3.23351,15
8,0.0746316,-0.0074309,3.23353,15
10,0.073727,-0.00727771,3.23356,15
11,0.0733555,-0.00725299,3.23356,15
21,0.0707001,-0.00741079,3.23359,15
31,0.0688929,-0.00762997,3.23359,15
61,0.0653935,-0.00793728,3.23361,15
81,0.0637965,-0.00800147,3.23358,15
100,0.0625703,-0.00796589,3.2336,15
110,0.0620011,-0.00791949,3.23359,15
210,0.0583226,-0.00723311,3.23359,15
310,0.0562425,-0.0065354,3.2336,15
510,0.05381,-0.00524664,3.23358,15
810,0.0517389,-0.00361263,3.2336,15
1000,0.0508377,-0.00264134,3.2336,15
0.01,0.144998,-0.0607417,3.2831,40
0.02,0.121575,-0.0464116,3.28625,40
0.03,0.112045,-0.0383561,3.28621,40
0.05,0.103099,-0.0299526,3.28642,40
0.08,0.0967664,-0.0240947,3.28653,40
0.1,0.0941885,-0.021821,3.28663,40
0.2,0.087453,-0.0161846,3.28672,40
0.3,0.0842947,-0.0136543,3.28673,40
0.5,0.0810126,-0.0111044,3.28676,40
0.8,0.078536,-0.00930996,3.2868,40
1,0.0774974,-0.00863728,3.28685,40
2,0.0747068,-0.00711127,3.28689,40
3,0.0732476,-0.00658113,3.28694,40
5,0.0714915,-0.00620256,3.28697,40
8,0.0699191,-0.0060965,3.28699,40
10,0.0691599,-0.00612694,3.28699,40
11,0.0688442,-0.00615212,3.287,40
21,0.0664675,-0.00661359,3.28702,40
31,0.0648135,-0.00698677,3.28702,40
61,0.0614516,-0.00753472,3.28701,40
81,0.0599559,-0.00770338,3.28703,40
100,0.0587469,-0.0077183,3.28701,40
110,0.0582424,-0.00771682,3.28702,40
210,0.0545228,-0.00729558,3.287,40
310,0.0523438,-0.00667229,3.28702,40
510,0.0496782,-0.00536603,3.287,40
810,0.0473928,-0.0035593,3.28704,40
1000,0.046425,-0.00245255,3.28701,40
0.01,0.119317,-0.0522779,3.32442,85
0.02,0.0986428,-0.0391633,3.32674,85
0.03,0.0907725,-0.0315668,3.32671,85
0.05,0.0839149,-0.0237391,3.32694,85
0.08,0.0793913,-0.0184583,3.32708,85
0.1,0.0776145,-0.0164869,3.3272,85
0.2,0.0730319,-0.0117878,3.32731,85
0.3,0.0708874,-0.00979987,3.32734,85
0.5,0.068661,-0.00785411,3.32741,85
0.8,0.0669887,-0.00651866,3.32743,85
1,0.0663009,-0.00601023,3.32748,85
2,0.0644351,-0.00491078,3.3275,85
3,0.0634793,-0.00454087,3.32753,85
5,0.0622965,-0.00432798,3.32756,85
8,0.0612203,-0.00434939,3.32759,85
10,0.0606638,-0.00439365,3.32758,85
11,0.060439,-0.00444579,3.32759,85
21,0.0586782,-0.00487262,3.32759,85
31,0.0574534,-0.00521072,3.32762,85
61,0.0549263,-0.00570293,3.3276,85
81,0.0537709,-0.00583041,3.32759,85
100,0.0528704,-0.00590548,3.32759,85
110,0.052476,-0.00592056,3.32759,85
210,0.0495557,-0.00564652,3.32759,85
310,0.0477757,-0.00517478,3.32761,85
510,0.0456096,-0.00408088,3.32761,85
810,0.0437229,-0.00246629,3.3276,85
1000,0.0429035,-0.0014571,3.3276,85
0.01,0.25399,-0.41756,3.46144,100
0.02,0.190126,-0.266304,3.46308,100
0.03,0.160775,-0.20515,3.46494,100
0.05,0.132629,-0.148013,3.46528,100
0.08,0.113511,-0.104509,3.46651,100
0.1,0.106584,-0.0890151,3.46719,100
